DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
28-04-2020,17969.9,18000,17510,17567.1,3067,1347
27-04-2020,17401,18000,17401,17953.6,2448,1075
24-04-2020,17355.2,17800,17327.8,17377.6,2934,1330
23-04-2020,17697.95,17790,17320.5,17411.95,2810,1232
22-04-2020,17200,17682.3,16855.1,17638.85,3878,1757
21-04-2020,16889.95,17232.7,16714.9,16996.65,2313,1000
20-04-2020,17499,17499,16914.5,16971.15,3186,1409
17-04-2020,18301,18301,17231.25,17322.15,4499,2024
16-04-2020,17320.3,17999,17129.5,17884.85,4689,2297
15-04-2020,16659,17383.9,16659,17323.2,3319,1330
13-04-2020,17000,17000,16420.05,16614.25,2690,1145
9/4/2020,17326,17519,16595.7,16843.8,5835,2359
8/4/2020,16998,17520.55,16575.95,16848.2,4200,2139
7/4/2020,15500,17177.75,15480.35,17023.3,8813,3841
3/4/2020,15706,15861.9,14989.1,15150.8,6830,2928
1/4/2020,16380,16458.75,15504.85,15668.7,2549,1401
31-03-2020,15850,16420.6,15726.45,16302.4,3007,1504
30-03-2020,15110,15861.3,14755.65,15683.85,4156,2393
27-03-2020,15500,15509.75,14823.85,15090.95,5481,2469
26-03-2020,14890,15642.55,14059.5,15035.7,3829,1626
25-03-2020,13000,14500,13000,14431.7,4192,1929
24-03-2020,13210,14075,12850,13555.4,6306,2706
23-03-2020,13299.95,13750,12780,12934.9,8625,3007
20-03-2020,13430,14425.95,13206.2,14148.85,7765,3533
19-03-2020,13400,13464,12588.95,13108.65,8600,3950
18-03-2020,14540,14606.4,13390.65,13513.4,24933,3215
17-03-2020,14694,14849,14271.25,14541.5,6061,2354
16-03-2020,15000,15450,13500,14353.1,8487,3012
13-03-2020,15600,15682.7,14100,14975.8,9688,3587
12/3/2020,15822.25,15873.8,15044.35,15619.4,7632,2907
11/3/2020,16050,16220.3,15785.1,16056.15,2168,1052
9/3/2020,16301,16352.7,15717,16054.4,4522,1712
6/3/2020,16470,16548.95,16244,16426.9,2458,1048
5/3/2020,16567,16834,16484.5,16568.2,2476,898
4/3/2020,16360,16626.9,16026.85,16538.05,2789,895
3/3/2020,16190,16494.8,16158.7,16354.25,4981,1261
2/3/2020,15900,16316.15,15871.2,16119.75,5105,1462
28-02-2020,16100,16119,15680,15770.55,6051,2044
27-02-2020,16332,16340,16050,16261.55,10973,2647
26-02-2020,16435.1,16495.55,16155,16260.05,2668,992
25-02-2020,16341.2,16532.4,16312,16366.4,1273,547
24-02-2020,16500,16549,16305.45,16340.1,2796,922
20-02-2020,16774.85,16774.85,16515.3,16544.1,2556,930
19-02-2020,16506,16839.55,16489.2,16775.95,2958,1029
18-02-2020,16555,16565,16375,16400.8,2500,814
17-02-2020,16400,16631.7,16370.25,16574.8,9955,2423
14-02-2020,16520,16753.45,16246.5,16350.75,5972,1850
13-02-2020,16350,16455,16290,16417.8,5551,1892
12/2/2020,16097,16472.15,15975,16289.75,3465,1403
11/2/2020,16298,16318.45,15960,15995,1341,689
10/2/2020,16309,16342.95,16119.3,16168.2,1383,722
7/2/2020,16288,16382.6,16201.9,16305.95,132010,1307
6/2/2020,16385.1,16547.6,16166,16285.5,2355,907
5/2/2020,16499,16499,16257.2,16373.95,2937,1129
4/2/2020,16370,16500,16136.25,16453,2561,1131
3/2/2020,15452,16502.15,15452,16301.65,17589,2803
1/2/2020,15355,15635.8,15180,15425.8,1634,691
31-01-2020,15598.9,15599.75,15315,15360.85,1518,693
30-01-2020,15869.95,15869.95,15483,15502.5,1669,889
29-01-2020,15547,15900,15444,15869.8,1619,852
28-01-2020,15683.85,15695.8,15380.8,15413.55,1916,861
27-01-2020,15717.45,15854.9,15569.3,15670.8,1392,743
24-01-2020,15533,15855,15519,15750.4,1455,792
23-01-2020,15477,15620.55,15465,15554.65,5700,1837
22-01-2020,15354,15585.05,15315,15544.4,1630,762
21-01-2020,15420,15500.1,15253.05,15280.2,1306,584
20-01-2020,15436,15474.7,15311,15419.8,1805,847
17-01-2020,15399,15599,15365,15441.35,2271,860
16-01-2020,14869,15399,14860,15347.25,5450,1888
15-01-2020,14868,14950,14738.4,14867.6,874,486
14-01-2020,14662,14900,14615,14869.05,1388,491
13-01-2020,14728.3,14735.45,14604.3,14661.9,747,288
