DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
7/9/2020,695,712.2,689.4,709.05,131301,4081
4/9/2020,691,704.35,691,701,237572,4544
3/9/2020,702.1,716,698,708.85,398664,6572
2/9/2020,690.4,704.8,689.45,702,533437,8568
1/9/2020,694.5,704,682.8,690.45,292698,7291
31-08-2020,706.5,724.65,687,693.3,133961,3712
28-08-2020,711.1,716.6,703.65,705.8,236825,2736
27-08-2020,713.95,719.45,707,710.05,109415,2032
26-08-2020,703,717.45,697,712.65,172408,4536
25-08-2020,706,710.05,694.8,702.8,300068,5176
24-08-2020,706.35,709.95,695.7,705.85,150989,4847
21-08-2020,715,715.3,702.95,706.35,242260,3765
20-08-2020,708.8,716.05,706,710,148087,2859
19-08-2020,712.25,718.85,705.2,710,295263,4740
18-08-2020,718.7,721.5,712.65,714.45,83426,2767
17-08-2020,709.05,720.5,709.05,719,64765,2242
14-08-2020,727.2,727.9,707.3,709.05,128693,4435
13-08-2020,718.85,728.8,713.7,725.45,175508,4151
12/8/2020,680,719.05,678,716.8,283440,6398
11/8/2020,695.95,700.95,681.55,683.55,178969,4888
10/8/2020,697.95,697.95,685.2,692.3,209255,2853
7/8/2020,700.5,700.5,685,689.55,158257,5718
6/8/2020,692.5,707.35,686.9,705.2,106284,3101
5/8/2020,692,702.05,681.1,688.1,153268,3971
4/8/2020,710.1,710.8,687.05,692.2,218175,6923
3/8/2020,712,717.95,700.95,706.05,176067,4965
31-07-2020,710,716.6,696.5,705.45,238110,4752
30-07-2020,697.2,712.55,692.9,695.1,229229,5692
29-07-2020,712,712,692.45,693.95,227071,6727
28-07-2020,702.55,715.6,695.55,712.9,279045,7422
27-07-2020,683.1,704.4,676.95,701.2,411704,12974
24-07-2020,639,684.95,639,680.65,371379,7484
23-07-2020,649,656.95,643.7,652.65,147329,4726
22-07-2020,656,656.25,643.5,650.6,164984,3070
21-07-2020,652,662.3,643.25,651.95,297810,6689
20-07-2020,633.45,652,627,648.45,461374,11079
17-07-2020,635.65,643.9,610,623.45,749251,16628
16-07-2020,630.05,652.2,607.4,627.65,675494,17687
