DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
06-02-2020,1865.5,1882.8,1846.3,1861,3597728,2683
05-02-2020,1890.85,1890.85,1867,1872.3,36156,3264
04-02-2020,1871,1896,1856,1890.85,74140,4242
03-02-2020,1766,1872.5,1766,1867.4,85199,6769
01-02-2020,1818,1818,1747.8,1756.4,43019,3130
31-01-2020,1810,1823.05,1789.05,1795.25,20551,1724
30-01-2020,1807,1809,1786.8,1805.4,22427,1563
29-01-2020,1788,1803,1781.1,1796.5,16350,2428
28-01-2020,1797,1797,1773.5,1778.7,53037,4422
27-01-2020,1793,1805.25,1779.9,1787.05,42583,3215
24-01-2020,1777,1800,1777,1786.1,47531,3562
23-01-2020,1783.5,1788.35,1758,1775.3,45843,3470
22-01-2020,1818,1818,1769.6,1778.3,92872,6470
21-01-2020,1847,1847,1794.75,1810.25,62675,3505
20-01-2020,1832,1861.95,1832,1848.6,53382,4228
17-01-2020,1836,1839.35,1815.9,1831.2,16607,1791
16-01-2020,1838.2,1845,1829.75,1834.95,22335,1691
15-01-2020,1815.85,1845.9,1810.4,1841.75,39854,2158
14-01-2020,1809,1822.75,1805.95,1818.55,46705,1931
13-01-2020,1798,1807,1795.05,1805.25,15781,1229
10-01-2020,1773,1796.6,1760.35,1791.05,35343,2597
09-01-2020,1760,1775.3,1741.65,1773,39988,3377
08-01-2020,1699,1737.3,1695.3,1730.85,13901,1079
07-01-2020,1708.3,1740.8,1708.3,1723.9,20856,1545
06-01-2020,1744.9,1744.9,1694,1707.5,68842,5402
03-01-2020,1788,1788,1747.25,1751.65,26202,2170
02-01-2020,1790.6,1800,1785,1790.25,22940,1159
01-01-2020,1790.15,1803,1785,1793.75,32156,2782
31-12-2019,1802.65,1803,1781.15,1786.85,26590,1131
30-12-2019,1812.95,1816.8,1799,1802.4,14226,1030
27-12-2019,1810,1825.75,1801,1812.95,21616,1307
26-12-2019,1800.85,1818.9,1798.1,1810.1,20134,1346
24-12-2019,1810,1825.9,1798.8,1803.4,24865,1328
23-12-2019,1790,1814,1787.05,1807.45,26786,1054
20-12-2019,1809.8,1809.8,1796,1798.55,59466,2387
19-12-2019,1783,1807.55,1778.5,1802,60524,2396
18-12-2019,1741.55,1782,1734.8,1778.55,1185201,1999
17-12-2019,1740,1749,1731.65,1745.3,12369,844
16-12-2019,1758,1758,1728.05,1731.65,54822,1277
13-12-2019,1754,1757.55,1737,1744,41599,1156
12-12-2019,1743,1753.9,1728.05,1751,46461,1832
11-12-2019,1705.15,1742,1705.15,1737.7,59669,1918
10-12-2019,1730.9,1731.75,1710,1713.4,16006,1515
09-12-2019,1721.5,1732.3,1711.15,1726.45,65699,3626
06-12-2019,1714,1747.5,1713,1717.35,34823,1883
04-12-2019,1728.65,1733.95,1711.1,1720.6,33220,2352
03-12-2019,1741.95,1750,1724.95,1737.1,179743,1935
02-12-2019,1704,1743.1,1698.1,1738.3,46859,2061
29-11-2019,1715,1719.2,1678.8,1704,32884,2047
28-11-2019,1728.5,1728.5,1702.2,1713.45,22812,1145
27-11-2019,1710.7,1730.55,1705.65,1715.7,28321,1651
26-11-2019,1722.9,1728.3,1687.85,1710.6,36099,2084
25-11-2019,1685,1719.9,1666,1708.55,63704,2764
